ip,tags
node_02054,mobile;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;probe-v3;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;openwrt-3
node_02055,dsl;home;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02056,mobile;office;nat;3g;ipv4;double-nat;vodafone;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02057,home;nat;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02058,home;nat;3g;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-1d
node_02059,mobile;nat;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-1d
node_02060,fibre;home;nat;ipv4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;gpon;native-ipv4;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile
node_02061,mobile;nat;native-ipv6;dual-stack;ipv4;ipv6;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;native-ipv4;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-1d;5g
node_01196,fibre;ixp;native-ipv6;nat64;ipv4;ipv6;multihomed;464xlat;isp;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;5g
node_02062,fibre;home;nat;ipv6-tunnel;dual-stack;ipv4;ipv6;6to4;he;ftth;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;t-mobile
node_02063,fibre;home;nat;ipv4;ftth;orange;double-nat;system-v3;gpon;native-ipv4;system-ipv4-capable;system-ipv4-rfc1918;probe-v3;pppoe;no-ipv6;t-mobile;openwrt-3
node_02064,home;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;lte;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02065,ipv4;ipv6;ftth;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;lte;gpon;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;wi-fi;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02066,mobile;home;nat;ipv4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;native-ipv4;system-ipv4-capable;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02067,mobile;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-1d
node_02068,mobile;home;nat;ipv4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;native-ipv4;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-1d
node_02069,mobile;home;nat;ipv4;wireless-isp;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;5g
node_02070,mobile;ipv4;ipv6;vpn;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02071,mobile;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-1d
node_01996,mobile;home;nat;ipv4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;cgn;lte;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02072,mobile;nat;system-v3;system-resolver-mangles-case;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02073,wireless-isp;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_01998,mobile;home;ipv4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;4g;telia;system-ipv4-stable-1d
node_02074,dsl;ipv4;ipv6;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;5g
node_02075,cable;office;academic;nat;ipv4;hackerspace;multihomed;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv4-rfc1918;4g;docsis3;probe-v3;no-ipv6;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile;spectrum;5g;docsis-31;starlink
node_01241,home;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile;5g
node_02076,home;nat;3g;ipv4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;native-ipv4;system-ipv4-capable;system-ipv4-rfc1918;4g;homelab;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;5g;movistar-3
node_02061,mobile;nat;ipv4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02077,mobile;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
