ip,source,lineage,lat,lon,city,country,accuracy_radius,db_version,is_default_centroid,centroid_match,status,fetched_at_utc
node_02172,ip_api,ipapi_com_unverified,52.0333,5.65833,Ede,NL,,,False,,success,2026-08-01T09:25:03Z
node_02172,ipinfo,ipinfo,52.0908,5.1222,Utrecht,NL,,,False,,success,2026-08-01T09:25:03Z
node_02172,ipwho_is,ipwhois_unverified,52.0402166,5.6648634,Ede,NL,,,False,,success,2026-08-01T09:25:03Z
node_02172,maxmind_geolite2,maxmind_geolite,52.3824,4.8995,,NL,100,1780418264,True,no_city,success,2026-08-01T09:25:04Z
node_02172,reallyfreegeoip,maxmind_geolite,52.3824,4.8995,,NL,,,True,no_city,success,2026-08-01T09:25:03Z
node_02157,dbip_lite,dbip_lite,49.1068,15.3702,Volfířov,CZ,,1780278471,False,,success,2026-08-01T09:24:39Z
node_02157,geojs,maxmind_geolite,50.0883,14.4124,Prague,CZ,,,False,,success,2026-08-01T09:24:39Z
node_02157,ip2location_lite,ip2location_lite,49.834888,18.281956,Ostrava,CZ,,1780555707,False,,success,2026-08-01T09:24:39Z
node_02157,ip_api,ipapi_com_unverified,50.0687,14.3947,Prague,CZ,,,False,,success,2026-08-01T09:24:38Z
node_02157,ipinfo,ipinfo,49.8347,18.282,Ostrava,CZ,,,False,,success,2026-08-01T09:24:39Z
node_02157,ipwho_is,ipwhois_unverified,49.1067743,15.3702362,Volfirov,CZ,,,False,,success,2026-08-01T09:24:39Z
node_02157,maxmind_geolite2,maxmind_geolite,50.0471,14.4523,Prague,CZ,100,1780418264,False,,success,2026-08-01T09:24:39Z
node_02157,reallyfreegeoip,maxmind_geolite,50.0883,14.4124,Prague,CZ,,,False,,success,2026-08-01T09:33:04Z
node_02100,dbip_lite,dbip_lite,14.5612,121.219,Teresa,PH,,1780278471,False,,success,2026-08-01T09:23:13Z
node_02100,geojs,maxmind_geolite,14.4621,121.1899,Binangonan,PH,,,False,,success,2026-08-01T09:23:12Z
node_02100,ip2location_lite,ip2location_lite,9.160219,123.492767,San Juan,PH,,1780555707,False,,success,2026-08-01T09:23:13Z
node_02100,ip_api,ipapi_com_unverified,14.4621,121.1899,Binangonan,PH,,,False,,success,2026-08-01T09:23:12Z
node_02100,ipinfo,ipinfo,14.4646,121.1929,Binangonan,PH,,,False,,success,2026-08-01T09:23:12Z
node_02100,ipwho_is,ipwhois_unverified,14.4621417,121.1899486,Binangonan,PH,,,False,,success,2026-08-01T09:23:12Z
node_02100,maxmind_geolite2,maxmind_geolite,14.4621,121.1899,Binangonan,PH,10,1780418264,False,,success,2026-08-01T09:23:13Z
node_02100,reallyfreegeoip,maxmind_geolite,14.4621,121.1899,Binangonan,PH,,,False,,success,2026-08-01T09:23:12Z
node_02110,dbip_lite,dbip_lite,-31.9514,115.862,Perth,AU,,1780278471,False,,success,2026-08-01T09:23:27Z
node_02110,geojs,maxmind_geolite,-31.938,115.8747,Perth,AU,,,False,,success,2026-08-01T09:23:27Z
node_02110,ip2location_lite,ip2location_lite,-31.95224,115.861397,Perth,AU,,1780555707,False,,success,2026-08-01T09:23:27Z
node_02110,ip_api,ipapi_com_unverified,-31.9463,115.8449,Perth,AU,,,False,,success,2026-08-01T09:23:26Z
node_02110,ipinfo,ipinfo,-31.9522,115.8614,Perth,AU,,,False,,success,2026-08-01T09:23:27Z
node_02110,ipwho_is,ipwhois_unverified,-31.9522425,115.8614189,Perth,AU,,,False,,success,2026-08-01T09:23:27Z
node_02110,maxmind_geolite2,maxmind_geolite,-32.0498,115.8861,Perth,AU,20,1780418264,False,,success,2026-08-01T09:23:27Z
node_02110,reallyfreegeoip,maxmind_geolite,-32.0323,115.8972,Perth,AU,,,False,,success,2026-08-01T09:36:34Z
node_02117,dbip_lite,dbip_lite,-37.6899,145.123,St Helena,AU,,1780278471,False,,success,2026-08-01T09:23:38Z
node_02117,geojs,maxmind_geolite,-37.8469,145.2136,Melbourne,AU,,,False,,success,2026-08-01T09:23:38Z
node_02117,ip2location_lite,ip2location_lite,-37.814007,144.963165,Melbourne,AU,,1780555707,False,,success,2026-08-01T09:23:38Z
node_02117,ip_api,ipapi_com_unverified,-37.8355,145.2527,Melbourne,AU,,,False,,success,2026-08-01T09:23:37Z
node_02117,ipinfo,ipinfo,-37.814,144.9633,Melbourne,AU,,,False,,success,2026-08-01T09:23:38Z
node_02117,ipwho_is,ipwhois_unverified,-37.8135808,144.9625221,Melbourne,AU,,,False,,success,2026-08-01T09:23:37Z
node_02117,maxmind_geolite2,maxmind_geolite,-37.8374,145.1923,Melbourne,AU,20,1780418264,False,,success,2026-08-01T09:23:38Z
node_02117,reallyfreegeoip,maxmind_geolite,-37.821,145.1535,Melbourne,AU,,,False,,success,2026-08-01T09:23:38Z
node_02067,dbip_lite,dbip_lite,-33.8369,151.206,North Sydney,AU,,1780278471,False,,success,2026-08-01T09:22:15Z
node_02067,geojs,maxmind_geolite,-33.7811,151.0019,Sydney,AU,,,False,,success,2026-08-01T09:22:14Z
node_02067,ip2location_lite,ip2location_lite,-34.928661,138.598633,Adelaide,AU,,1780555707,False,,success,2026-08-01T09:22:15Z
node_02067,ip_api,ipapi_com_unverified,-33.8322,151.0164,Sydney,AU,,,False,,success,2026-08-01T09:22:14Z
node_02067,ipinfo,ipinfo,-33.8678,151.2073,Sydney,AU,,,False,,success,2026-08-01T09:22:14Z
node_02067,ipwho_is,ipwhois_unverified,-33.8677778,151.207052,Sydney,AU,,,False,,success,2026-08-01T09:22:14Z
node_02067,maxmind_geolite2,maxmind_geolite,-33.894,151.2059,Sydney,AU,50,1780418264,False,,success,2026-08-01T09:22:15Z
node_02067,reallyfreegeoip,maxmind_geolite,-33.7811,151.0019,Sydney,AU,,,False,,success,2026-08-01T09:22:15Z
node_02140,dbip_lite,dbip_lite,-37.814,144.963,Melbourne,AU,,1780278471,False,,success,2026-08-01T09:24:12Z
node_02140,geojs,maxmind_geolite,-37.8159,144.9669,Melbourne,AU,,,False,,success,2026-08-01T09:24:12Z
node_02140,ip2location_lite,ip2location_lite,-37.814007,144.963165,Melbourne,AU,,1780555707,False,,success,2026-08-01T09:24:12Z
node_02140,ip_api,ipapi_com_unverified,-37.8159,144.9669,Melbourne,AU,,,False,,success,2026-08-01T09:24:11Z
node_02140,ipinfo,ipinfo,-37.814,144.9633,Melbourne,AU,,,False,,success,2026-08-01T09:24:12Z
node_02140,ipwho_is,ipwhois_unverified,-37.8135808,144.9625221,Melbourne,AU,,,False,,success,2026-08-01T09:24:12Z
node_02140,maxmind_geolite2,maxmind_geolite,-37.8159,144.9669,Melbourne,AU,20,1780418264,False,,success,2026-08-01T09:24:12Z
node_02140,reallyfreegeoip,maxmind_geolite,-37.8159,144.9669,Melbourne,AU,,,False,,success,2026-08-01T09:37:31Z
node_02190,dbip_lite,dbip_lite,-33.8688,151.209,Sydney,AU,,1780278471,False,,success,2026-08-01T09:25:31Z
node_02190,geojs,maxmind_geolite,-33.8672,151.1997,Sydney,AU,,,False,,success,2026-08-01T09:25:30Z
node_02190,ip2location_lite,ip2location_lite,-33.867779,151.207047,Sydney,AU,,1780555707,False,,success,2026-08-01T09:25:31Z
node_02190,ip_api,ipapi_com_unverified,-33.8672,151.1997,Sydney,AU,,,False,,success,2026-08-01T09:25:30Z
node_02190,ipinfo,ipinfo,-33.8678,151.2073,Sydney,AU,,,False,,success,2026-08-01T09:25:30Z
node_02190,ipwho_is,ipwhois_unverified,-35.2834619,149.1280667,Canberra,AU,,,False,,success,2026-08-01T09:25:30Z
node_02190,maxmind_geolite2,maxmind_geolite,-33.8672,151.1997,Sydney,AU,500,1780418264,True,r>=500km,success,2026-08-01T09:25:31Z
node_02190,reallyfreegeoip,maxmind_geolite,-33.8672,151.1997,Sydney,AU,,,False,,success,2026-08-01T09:25:30Z
node_02099,dbip_lite,dbip_lite,53.5049,8.01418,Sande,DE,,1780278471,False,,success,2026-08-01T09:23:11Z
node_02099,geojs,maxmind_geolite,50.859,8.034,Siegen,DE,,,False,,success,2026-08-01T09:23:11Z
node_02099,ip2location_lite,ip2location_lite,51.519081,6.32363,Geldern,DE,,1780555707,False,,success,2026-08-01T09:23:11Z
node_02099,ip_api,ipapi_com_unverified,50.859,8.034,Siegen,DE,,,False,,success,2026-08-01T09:23:09Z
node_02099,ipinfo,ipinfo,51.3364,6.5538,Krefeld,DE,,,False,,success,2026-08-01T09:23:11Z
node_02099,ipwho_is,ipwhois_unverified,51.5190826,6.3236304,Geldern,DE,,,False,,success,2026-08-01T09:23:10Z
node_02099,maxmind_geolite2,maxmind_geolite,50.8713,8.0108,Siegen,DE,100,1780418264,False,,success,2026-08-01T09:23:11Z
node_02099,reallyfreegeoip,maxmind_geolite,50.859,8.034,Siegen,DE,,,False,,success,2026-08-01T09:23:11Z
node_02188,dbip_lite,dbip_lite,14.3122,121.111,Santa Rosa,PH,,1780278471,False,,success,2026-08-01T09:25:28Z
node_02188,geojs,maxmind_geolite,14.5703,121.0308,Makati City,PH,,,False,,success,2026-08-01T09:25:27Z
node_02188,ip2location_lite,ip2location_lite,14.211655,121.165215,Calamba,PH,,1780555707,False,,success,2026-08-01T09:25:28Z
node_02188,ip_api,ipapi_com_unverified,14.5703,121.0308,Makati City,PH,,,False,,success,2026-08-01T09:25:26Z
node_02188,ipinfo,ipinfo,14.2117,121.1653,Calamba,PH,,,False,,success,2026-08-01T09:25:27Z
node_02188,ipwho_is,ipwhois_unverified,14.5904492,120.9803621,Manila,PH,,,False,,success,2026-08-01T09:25:27Z
node_02188,maxmind_geolite2,maxmind_geolite,14.6475,121.0494,Quezon City,PH,50,1780418264,False,,success,2026-08-01T09:25:28Z
node_02188,reallyfreegeoip,maxmind_geolite,14.5703,121.0308,Makati City,PH,,,False,,success,2026-08-01T09:25:27Z
node_02181,dbip_lite,dbip_lite,14.459,120.939,Bacoor,PH,,1780278471,False,,success,2026-08-01T09:25:17Z
node_02181,geojs,maxmind_geolite,14.5703,121.0308,Makati City,PH,,,False,,success,2026-08-01T09:25:17Z
node_02181,ip2location_lite,ip2location_lite,14.08627,121.14975,Tanauan,PH,,1780555707,False,,success,2026-08-01T09:25:17Z
node_02181,ip_api,ipapi_com_unverified,14.5703,121.0308,Makati City,PH,,,False,,success,2026-08-01T09:25:16Z
node_02181,ipinfo,ipinfo,14.2117,121.1653,Calamba,PH,,,False,,success,2026-08-01T09:25:17Z
node_02181,ipwho_is,ipwhois_unverified,14.5904492,120.9803621,Manila,PH,,,False,,success,2026-08-01T09:25:16Z
node_02181,maxmind_geolite2,maxmind_geolite,14.6475,121.0494,Quezon City,PH,50,1780418264,False,,success,2026-08-01T09:25:17Z
node_02181,reallyfreegeoip,maxmind_geolite,14.5703,121.0308,Makati City,PH,,,False,,success,2026-08-01T09:25:35Z
node_02161,dbip_lite,dbip_lite,35.6581,139.751,Minato,JP,,1780278471,False,,success,2026-08-01T09:24:46Z
node_02161,geojs,maxmind_geolite,35.69,139.69,,JP,,,True,no_city,success,2026-08-01T09:24:45Z
node_02161,ip2location_lite,ip2location_lite,36.751122,139.451263,Shobugahama,JP,,1780555707,False,,success,2026-08-01T09:24:46Z
node_02161,ip_api,ipapi_com_unverified,35.6581,139.751,Minato,JP,,,False,,success,2026-08-01T09:24:45Z
node_02161,ipinfo,ipinfo,35.6895,139.6917,Tokyo,JP,,,False,,success,2026-08-01T09:24:45Z
node_02161,ipwho_is,ipwhois_unverified,35.6812546,139.7667059,Tokyo,JP,,,False,,success,2026-08-01T09:24:45Z
node_02161,maxmind_geolite2,maxmind_geolite,35.69,139.69,,JP,50,1780418264,True,no_city,success,2026-08-01T09:24:46Z
node_02161,reallyfreegeoip,maxmind_geolite,35.69,139.69,,JP,,,True,no_city,success,2026-08-01T09:24:45Z
node_02105,dbip_lite,dbip_lite,6.39209,2.5372500000000002,Ekpé,BJ,,1780278471,False,,success,2026-08-01T09:23:20Z
node_02105,geojs,maxmind_geolite,6.3669,2.4151,Cotonou,BJ,,,False,,success,2026-08-01T09:23:20Z
node_02105,ip2location_lite,ip2location_lite,6.44852,2.35566,Abomey-Calavi,BJ,,1780555707,False,,success,2026-08-01T09:23:20Z
node_02105,ip_api,ipapi_com_unverified,6.3669,2.4151,Cotonou,BJ,,,False,,success,2026-08-01T09:23:19Z
node_02105,ipinfo,ipinfo,6.4485,2.3557,Abomey-Calavi,BJ,,,False,,success,2026-08-01T09:23:20Z
node_02105,ipwho_is,ipwhois_unverified,6.3562374,2.4277745,Cotonou,BJ,,,False,,success,2026-08-01T09:23:19Z
node_02105,maxmind_geolite2,maxmind_geolite,6.3669,2.4151,Cotonou,BJ,20,1780418264,False,,success,2026-08-01T09:23:20Z
node_02105,reallyfreegeoip,maxmind_geolite,6.3669,2.4151,Cotonou,BJ,,,False,,success,2026-08-01T09:32:52Z
node_02166,dbip_lite,dbip_lite,1.8548,102.933,Batu Pahat,MY,,1780278471,False,,success,2026-08-01T09:24:54Z
node_02166,geojs,maxmind_geolite,3.1671,101.6708,Kuala Lumpur,MY,,,False,,success,2026-08-01T09:24:54Z
node_02166,ip2location_lite,ip2location_lite,1.465653,103.757721,Johor Bahru,MY,,1780555707,False,,success,2026-08-01T09:24:54Z
node_02166,ip_api,ipapi_com_unverified,3.1671,101.6708,Kuala Lumpur,MY,,,False,,success,2026-08-01T09:24:53Z
node_02166,ipinfo,ipinfo,1.4655,103.7578,Johor Bahru,MY,,,False,,success,2026-08-01T09:24:54Z
node_02166,ipwho_is,ipwhois_unverified,3.1413013,101.6866215,Kuala Lumpur,MY,,,False,,success,2026-08-01T09:24:54Z
node_02166,maxmind_geolite2,maxmind_geolite,3.107,101.6344,Petaling Jaya,MY,200,1780418264,False,,success,2026-08-01T09:24:54Z
node_02166,reallyfreegeoip,maxmind_geolite,3.1671,101.6708,Kuala Lumpur,MY,,,False,,success,2026-08-01T09:33:08Z
node_02156,dbip_lite,dbip_lite,51.9286,6.34634,Gaanderen,NL,,1780278471,False,,success,2026-08-01T09:24:38Z
node_02156,geojs,maxmind_geolite,51.8737,6.4261,Voorst,NL,,,False,,success,2026-08-01T09:24:38Z
node_02156,ip2location_lite,ip2location_lite,52.378502,4.89998,Amsterdam,NL,,1780555707,False,,success,2026-08-01T09:24:38Z
node_02156,ip_api,ipapi_com_unverified,51.8737,6.4261,Voorst,NL,,,False,,success,2026-08-01T09:24:36Z
node_02156,ipinfo,ipinfo,52.21,5.9694,Apeldoorn,NL,,,False,,success,2026-08-01T09:24:38Z
node_02156,ipwho_is,ipwhois_unverified,51.9650719,6.2888924,Doetinchem,NL,,,False,,success,2026-08-01T09:24:37Z
node_02156,maxmind_geolite2,maxmind_geolite,51.8737,6.4261,Voorst,NL,50,1780418264,False,,success,2026-08-01T09:24:38Z
node_02156,reallyfreegeoip,maxmind_geolite,51.8737,6.4261,Voorst,NL,,,False,,success,2026-08-01T09:38:25Z
node_02057,dbip_lite,dbip_lite,47.0602,15.4513,Graz (Jakomini),AT,,1780278471,False,,success,2026-08-01T09:21:58Z
node_02057,geojs,maxmind_geolite,48.2049,16.3662,Vienna,AT,,,False,,success,2026-08-01T09:21:58Z
node_02057,ip2location_lite,ip2location_lite,48.208889,16.37208,Vienna,AT,,1780555707,False,,success,2026-08-01T09:21:58Z
node_02057,ip_api,ipapi_com_unverified,48.2049,16.3662,Vienna,AT,,,False,,success,2026-08-01T09:21:57Z
node_02057,ipinfo,ipinfo,48.2085,16.3721,Vienna,AT,,,False,,success,2026-08-01T09:21:58Z
node_02057,ipwho_is,ipwhois_unverified,48.2048916,16.3661921,Vienna,AT,,,False,,success,2026-08-01T09:21:58Z
node_02057,maxmind_geolite2,maxmind_geolite,48.1951,16.3483,Vienna,AT,20,1780418264,False,,success,2026-08-01T09:21:58Z
node_02057,reallyfreegeoip,maxmind_geolite,48.2049,16.3662,Vienna,AT,,,False,,success,2026-08-01T09:34:49Z
node_02032,dbip_lite,dbip_lite,-37.8136,144.963,Melbourne,AU,,1780278471,False,,success,2026-08-01T09:21:20Z
node_02032,geojs,maxmind_geolite,-37.8008,144.9876,Melbourne,AU,,,False,,success,2026-08-01T09:21:18Z
node_02032,ip2location_lite,ip2location_lite,-37.814007,144.963165,Melbourne,AU,,1780555707,False,,success,2026-08-01T09:21:20Z
node_02032,ip_api,ipapi_com_unverified,-37.7764,144.8881,Melbourne,AU,,,False,,success,2026-08-01T09:21:18Z
node_02032,ipinfo,ipinfo,-37.814,144.9633,Melbourne,AU,,,False,,success,2026-08-01T09:21:18Z
node_02032,ipwho_is,ipwhois_unverified,-37.8135808,144.9625221,Melbourne,AU,,,False,,success,2026-08-01T09:21:18Z
node_02032,maxmind_geolite2,maxmind_geolite,-37.7953,144.9767,Melbourne,AU,50,1780418264,False,,success,2026-08-01T09:21:19Z
node_02032,reallyfreegeoip,maxmind_geolite,-37.8008,144.9876,Melbourne,AU,,,False,,success,2026-08-01T09:21:18Z
node_02083,dbip_lite,dbip_lite,44.7989,7.28822,Bibiana,IT,,1780278471,False,,success,2026-08-01T09:22:45Z
node_02083,geojs,maxmind_geolite,43.1479,12.1097,,IT,,,True,no_city,success,2026-08-01T09:22:45Z
