ip,source,lineage,lat,lon,city,country,accuracy_radius,db_version,is_default_centroid,centroid_match,status,fetched_at_utc
node_00543,geojs,maxmind_geolite,43.2525,76.9115,Almaty,KZ,,,False,,success,2026-06-03T19:11:23Z
node_00543,ip2location_lite,ip2location_lite,43.250042,76.949989,Almaty,KZ,,1780555707,False,,success,2026-06-04T08:19:25Z
node_00543,ip_api,ipapi_com_unverified,43.2525,76.9115,Almaty,KZ,,,False,,success,2026-06-03T18:51:55Z
node_00543,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:19:24Z
node_00543,ipinfo,ipinfo,43.2525,76.9115,Almaty,KZ,,,False,,success,2026-06-04T08:19:24Z
node_00543,ipwho_is,ipwhois_unverified,43.2220146,76.8512485,Almaty,KZ,,,False,,success,2026-06-03T18:51:55Z
node_00543,maxmind_geolite2,maxmind_geolite,43.2525,76.9115,Almaty,KZ,200,1780418264,False,,success,2026-06-04T08:19:25Z
node_00543,reallyfreegeoip,maxmind_geolite,44.0,76.2833,Almaty Oblysy,KZ,,,False,,success,2026-06-03T19:11:23Z
node_00350,dbip_lite,dbip_lite,42.8881,-8.54734,Santiago de Compostela,ES,,1780278471,False,,success,2026-06-04T08:15:34Z
node_00350,geojs,maxmind_geolite,40.4153,-3.694,Madrid,ES,,,False,,success,2026-06-03T19:09:41Z
node_00350,ip2location_lite,ip2location_lite,40.416817,-3.684733,Madrid,ES,,1780555707,False,,success,2026-06-04T08:15:34Z
node_00350,ip_api,ipapi_com_unverified,40.4153,-3.694,Madrid,ES,,,False,,success,2026-06-03T18:37:11Z
node_00350,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:15:33Z
node_00350,ipinfo,ipinfo,40.4165,-3.7026,Madrid,ES,,,False,,success,2026-06-04T08:15:33Z
node_00350,ipwho_is,ipwhois_unverified,42.8782132,-8.5448445,Santiago de Compostela,ES,,,False,,success,2026-06-03T18:37:11Z
node_00350,maxmind_geolite2,maxmind_geolite,40.4153,-3.694,Madrid,ES,20,1780418264,False,,success,2026-06-04T08:15:34Z
node_00350,reallyfreegeoip,maxmind_geolite,40.4163,-3.6934,Madrid,ES,,,False,,success,2026-06-03T19:09:41Z
node_00237,dbip_lite,dbip_lite,50.1111,8.66105,Frankfurt am Main (Innenstadt I),DE,,1780278471,False,,success,2026-06-04T08:13:18Z
node_00237,geojs,maxmind_geolite,50.5349,8.6481,Leihgestern,DE,,,False,,success,2026-06-03T19:08:43Z
node_00237,ip2location_lite,ip2location_lite,50.10038,8.6295,Gallus,DE,,1780555707,False,,success,2026-06-04T08:13:18Z
node_00237,ip_api,ipapi_com_unverified,50.5349,8.6481,Leihgestern,DE,,,False,,success,2026-06-03T18:34:22Z
node_00237,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:13:17Z
node_00237,ipinfo,ipinfo,50.1155,8.6842,Frankfurt am Main,DE,,,True,"hub:50.115,8.684",success,2026-06-04T08:13:17Z
node_00237,ipwho_is,ipwhois_unverified,50.1109221,8.6821267,Frankfurt,DE,,,True,"hub:50.111,8.682",success,2026-06-03T18:34:22Z
node_00237,maxmind_geolite2,maxmind_geolite,50.5349,8.6481,Leihgestern,DE,5,1780418264,False,,success,2026-06-04T08:13:18Z
node_00237,reallyfreegeoip,maxmind_geolite,50.8111,8.1005,Wilnsdorf,DE,,,False,,success,2026-06-03T19:08:43Z
node_00413,dbip_lite,dbip_lite,48.9011,2.31776,Clichy,FR,,1780278471,False,,success,2026-06-04T08:16:49Z
node_00413,geojs,maxmind_geolite,48.8558,2.3494,Paris,FR,,,False,,success,2026-06-03T19:10:16Z
node_00413,ip2location_lite,ip2location_lite,48.933331,2.36667,Saint-Denis,FR,,1780555707,False,,success,2026-06-04T08:16:49Z
node_00413,ip_api,ipapi_com_unverified,48.8558,2.3494,Paris,FR,,,False,,success,2026-06-03T18:38:46Z
node_00413,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:16:49Z
